excel_row,code,severity,detail
1426,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SUYATNO
1437,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MARYONO
1438,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MARYONO
1439,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MASHUDI
1440,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MASHUDI
1473,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MENARA STUDIO
1474,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MENARA STUDIO
1476,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MERAHE INTI ALAM PERKASA
1477,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MERAHE INTI ALAM PERKASA
1535,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MOHAMAD ALANSYAHRONI
1536,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MOHAMAD ALANSYAHRONI
1573,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MUHAMMAD RIFAI
1578,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MUHAMMAD YUSUF
1579,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MUHAMMAD YUSUF
1582,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: MUJIYONO
1583,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: MUJIYONO
1584,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: MUJIYONO
1605,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MUSLIM
1621,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: NARA JAYA ABADI
1622,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: NARA JAYA ABADI
1633,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: AGUS
1656,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: NUR MAIDI
1657,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: NUR MAIDI
1661,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: NURDIN SOFAN
1662,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: NURDIN SOFAN
1793,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PRIMA SHINA CAHAYA
1794,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PRIMA SHINA CAHAYA
1859,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PT KWARTAPUTRA SENTRA SINDO
1860,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PT KWARTAPUTRA SENTRA SINDO
1922,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PT. ADYATMA BERKAH LESTARI
1923,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PT. ADYATMA BERKAH LESTARI
1926,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PT. ALTA AGUNG TEKNIK
1927,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PT. ALTA AGUNG TEKNIK
2028,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PT. TALINDO CITRA PRATAMA
2029,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PT. TALINDO CITRA PRATAMA
2052,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: FARRASINDO PERKASA
2056,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PUJA PERKASA
2057,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PUJA PERKASA
2064,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: GEOTECH EFATHAMA
2079,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PUTRA NIATU YANDANA
2080,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: PUTRA NIATU YANDANA
2103,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: HERMANSYAH
2126,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: REKA ALAMINDO UTAMA
